ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,_year
12952186,JG116051,01/14/2023 2:20:00 PM,001XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA TRAIN,TRUE,FALSE,111,1,42,32,11,1176330,1901649,2023,08/19/2023 3:40:26 PM,41.88548189,-87.62793569,"(41.885481891, -87.627935689)",2023
12850860,JF424352,10/06/2022 2:42:00 PM,012XX N CICERO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,2533,25,37,25,15,1144143,1907649,2022,01/03/2023 3:40:27 PM,41.90261178,-87.74598231,"(41.902611784, -87.745982312)",2022
12448118,JE331564,08/09/2021 1:04:00 PM,063XX S HERMITAGE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,725,7,15,67,15,1165758,1862583,2021,08/16/2021 3:40:53 PM,41.77851267,-87.66786918,"(41.778512667, -87.667869181)",2021
13626913,JH463647,10/10/2024 7:30:00 PM,009XX W 68TH ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,723,7,16,68,04B,1171374,1859748,2024,05/17/2025 3:40:52 PM,41.77061199,-87.6473635,"(41.770611985, -87.6473635)",2024
13366902,JH150267,02/12/2024 9:30:00 PM,051XX N EAST RIVER RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,1614,16,41,76,08B,1116630,1933196,2024,12/21/2024 3:40:46 PM,41.97318875,-87.8465118,"(41.973188747, -87.846511802)",2024
13957436,JJ403038,09/05/2025 12:45:00 PM,0000X S LOTUS AVE,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,SIDEWALK,TRUE,FALSE,1522,15,29,25,18,1139888,1899379,2025,03/14/2026 3:41:39 PM,41.87999676,-87.7618142,"(41.879996761, -87.761814204)",2025
13562902,JH386423,08/10/2024 11:49:00 AM,0000X N STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,112,1,34,32,6,1176364,1900524,2024,05/17/2025 3:40:52 PM,41.88239406,-87.6278448,"(41.882394062, -87.627844798)",2024
13137539,JG337328,06/06/2023 7:00:00 PM,013XX N KINGSBURY ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1822,18,27,8,6,1170384,1908867,2023,08/19/2023 3:40:26 PM,41.90542058,-87.64955911,"(41.905420581, -87.649559108)",2023
12306169,JE158083,01/15/2021 3:00:00 AM,013XX N WELLS ST,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1821,18,2,8,08B,1174455,1909495,2021,03/05/2021 3:40:04 PM,41.90705382,-87.63458632,"(41.907053823, -87.634586321)",2021
12394866,JE266409,06/14/2021 8:00:00 PM,019XX S HOYNE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1234,12,25,31,7,1162677,1890558,2021,06/21/2021 3:40:21 PM,41.8553442,-87.67838266,"(41.855344202, -87.678382655)",2021
12545571,JE450700,11/19/2021 5:16:00 PM,107XX S PRAIRIE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,TRUE,TRUE,513,5,9,49,26,1179820,1833769,2021,11/26/2021 3:40:45 PM,41.69913345,-87.61719633,"(41.699133454, -87.617196327)",2021
12540713,JE445067,11/14/2021 1:00:00 PM,060XX N LINCOLN AVE,820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,1711,17,50,13,6,1153688,1940301,2021,11/21/2021 3:40:30 PM,41.99202651,-87.71004948,"(41.992026512, -87.710049481)",2021
